numero_cidades_com_bioma_por_regiao,REGIAO,bioma
1,REGIÃO SUL,
32,REGIÃO SUL,Cerrado
83,REGIÃO SUDESTE,Caatinga
512,REGIÃO CENTRO-OESTE,Pantanal
541,REGIÃO SUL,Pampa
634,REGIÃO NORTE,Caatinga
704,REGIÃO NORDESTE,Amazônia
758,REGIÃO CENTRO-OESTE,Mata Atlântica
1036,REGIÃO NORTE,Mata Atlântica
1046,REGIÃO NORTE,Cerrado
2012,REGIÃO CENTRO-OESTE,Amazônia
2560,REGIÃO SUDESTE,Cerrado
3003,REGIÃO NORDESTE,Cerrado
3092,REGIÃO SUL,Mata Atlântica
3857,REGIÃO NORDESTE,Mata Atlântica
3947,REGIÃO SUDESTE,Mata Atlântica
4598,REGIÃO CENTRO-OESTE,Cerrado
5216,REGIÃO NORTE,Amazônia
10121,REGIÃO NORDESTE,Caatinga
