estado,municipio,bioma,media_dias_sem_chuva
RORAIMA,BOA VISTA,Amazônia,15.907261904761912
RORAIMA,MUCAJAÍ,Amazônia,14.83011764705882
RORAIMA,CANTÁ,Amazônia,13.451379310344825
RORAIMA,BONFIM,Amazônia,12.145384615384616
RORAIMA,NORMANDIA,Amazônia,12.130109890109889
RORAIMA,PACARAIMA,Amazônia,11.908850574712645
RORAIMA,UIRAMUTÃ,Amazônia,11.742696629213478
RORAIMA,ALTO ALEGRE,Amazônia,11.666703296703302
RORAIMA,IRACEMA,Amazônia,10.674096385542164
RORAIMA,AMAJARI,Amazônia,10.457777777777775
RORAIMA,CARACARAÍ,Amazônia,7.4455555555555568
RORAIMA,SÃO JOÃO DA BALIZA,Amazônia,5.6806779661016948
RORAIMA,RORAINÓPOLIS,Amazônia,5.3160919540229887
RORAIMA,SÃO LUIZ,Amazônia,5.124090909090909
RORAIMA,CAROEBE,Amazônia,5.0451250000000005
