municipio,estado,media_risco_fogo
UIRAMUTÃ,RORAIMA,97.349775280898882
NORMANDIA,RORAIMA,97.136153846153874
PACARAIMA,RORAIMA,96.904137931034441
BOA VISTA,RORAIMA,95.473214285714292
BONFIM,RORAIMA,94.399450549450535
ALTO ALEGRE,RORAIMA,90.471208791208838
MUCAJAÍ,RORAIMA,89.924000000000035
AMAJARI,RORAIMA,85.614222222222182
CANTÁ,RORAIMA,85.2232183908046
IRACEMA,RORAIMA,82.441204819277118
CARACARAÍ,RORAIMA,78.915
SÃO LUIZ,RORAIMA,53.183181818181829
RORAINÓPOLIS,RORAIMA,44.852183908045973
SÃO JOÃO DA BALIZA,RORAIMA,41.636610169491533
CAROEBE,RORAIMA,35.88725
