date_month,localizacao
2024-01-30,"LAGOA DOS PATOS, RIO GRANDE DO SUL"
2024-01-22,"RIO GRANDE, RIO GRANDE DO SUL"
2024-01-25,"JAGUARÃO, RIO GRANDE DO SUL"
2024-01-29,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-29,"BAGÉ, RIO GRANDE DO SUL"
2024-01-30,"ITAQUI, RIO GRANDE DO SUL"
2024-01-30,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-01-30,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-01-30,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-01-31,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-01-31,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-31,"MORRO REDONDO, RIO GRANDE DO SUL"
2024-01-31,"HERVAL, RIO GRANDE DO SUL"
2024-01-31,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-01-31,"ARROIO GRANDE, RIO GRANDE DO SUL"
2024-02-01,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-02-01,"URUGUAIANA, RIO GRANDE DO SUL"
2024-02-01,"CANGUÇU, RIO GRANDE DO SUL"
2024-02-01,"VILA NOVA DO SUL, RIO GRANDE DO SUL"
2024-02-01,"MORRO REDONDO, RIO GRANDE DO SUL"
2024-02-01,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-02-01,"HERVAL, RIO GRANDE DO SUL"
2024-02-01,"SÃO MIGUEL DAS MISSÕES, RIO GRANDE DO SUL"
2024-02-01,"SANTIAGO, RIO GRANDE DO SUL"
2024-02-01,"PIRATINI, RIO GRANDE DO SUL"
2024-02-02,"CACEQUI, RIO GRANDE DO SUL"
2024-02-02,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-02-02,"URUGUAIANA, RIO GRANDE DO SUL"
2024-02-02,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-02,"QUARAÍ, RIO GRANDE DO SUL"
2024-02-02,"FORMIGUEIRO, RIO GRANDE DO SUL"
2024-02-02,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-02,"CERRITO, RIO GRANDE DO SUL"
2024-02-02,"PIRATINI, RIO GRANDE DO SUL"
2024-02-03,"ITAQUI, RIO GRANDE DO SUL"
2024-02-03,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-02-03,"URUGUAIANA, RIO GRANDE DO SUL"
2024-02-03,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-03,"SANTA MARIA, RIO GRANDE DO SUL"
2024-02-03,"ROSÁRIO DO SUL, RIO GRANDE DO SUL"
2024-02-04,"SANTA MARGARIDA DO SUL, RIO GRANDE DO SUL"
2024-02-04,"SÃO GABRIEL, RIO GRANDE DO SUL"
2024-02-04,"CAÇAPAVA DO SUL, RIO GRANDE DO SUL"
2024-02-04,"SANTIAGO, RIO GRANDE DO SUL"
2024-02-04,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-04,"TORRES, RIO GRANDE DO SUL"
2024-02-05,"DILERMANDO DE AGUIAR, RIO GRANDE DO SUL"
2024-02-05,"TORRES, RIO GRANDE DO SUL"
2024-02-06,"TORRES, RIO GRANDE DO SUL"
2024-02-07,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-07,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-07,"CANDIOTA, RIO GRANDE DO SUL"
2024-02-08,"SÃO BORJA, RIO GRANDE DO SUL"
2024-02-08,"PEDRAS ALTAS, RIO GRANDE DO SUL"
2024-02-08,"ITAQUI, RIO GRANDE DO SUL"
2024-02-08,"CANGUÇU, RIO GRANDE DO SUL"
2024-02-09,"PELOTAS, RIO GRANDE DO SUL"
2024-02-09,"ARROIO DOS RATOS, RIO GRANDE DO SUL"
2024-02-09,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-09,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-09,"CERRITO, RIO GRANDE DO SUL"
2024-02-09,"PIRATINI, RIO GRANDE DO SUL"
2024-02-21,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-21,"SÃO JERÔNIMO, RIO GRANDE DO SUL"
2024-02-21,"PIRATINI, RIO GRANDE DO SUL"
2024-02-22,"PIRATINI, RIO GRANDE DO SUL"
2024-02-23,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-02,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-07,"RIO PARDO, RIO GRANDE DO SUL"
2024-03-13,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-14,"ITAQUI, RIO GRANDE DO SUL"
2024-03-14,"SÃO SEPÉ, RIO GRANDE DO SUL"
2024-03-27,"JAGUARÃO, RIO GRANDE DO SUL"
2024-01-02,"PEDRO OSÓRIO, RIO GRANDE DO SUL"
