municipio,estado,media_dias_sem_chuva,media_chuvas,media_risco_fogo,media_frp
RIBEIRÃO,PERNAMBUCO,10.04,86.25,87.72,102.87
BARREIROS,PERNAMBUCO,10.07,1.43,96.62,64.43
CATENDE,PERNAMBUCO,10.13,0.75,96.69,43.44
BOCA DA MATA,ALAGOAS,10.14,61.77,84.84,285.6
HORIZONTE,CEARÁ,10.15,8.0,92.25,38.95
NOVO LINO,ALAGOAS,10.2,10.71,91.67,134.37
PACAJUS,CEARÁ,10.29,23.38,85.71,71.42
MARUIM,SERGIPE,10.4,0.92,99.25,181.25
AMAJARI,RORAIMA,10.46,38.98,85.61,388.76
FREI MIGUELINHO,PERNAMBUCO,10.5,5.0,100.0,87.0
CABACEIRAS DO PARAGUAÇU,BAHIA,10.5,62.34,100.0,1021.91
JUSSARA,PARANÁ,10.5,330.25,33.75,62.0
IRACEMA,RORAIMA,10.67,29.34,82.44,285.86
RIO FORMOSO,PERNAMBUCO,10.83,106.02,78.71,49.0
JAQUEIRA,PERNAMBUCO,11.25,0.63,100.0,57.88
ALTO ALEGRE,RORAIMA,11.67,39.91,90.47,227.57
BELÉM DE MARIA,PERNAMBUCO,11.67,78.33,100.0,79.33
UIRAMUTÃ,RORAIMA,11.74,35.42,97.35,120.14
PACARAIMA,RORAIMA,11.91,17.34,96.9,178.5
CERRITO,RIO GRANDE DO SUL,12.0,24.2,55.27,117.73
ITAIÇABA,CEARÁ,12.0,10.0,100.0,60.5
NORMANDIA,RORAIMA,12.13,34.25,97.14,139.2
BONFIM,RORAIMA,12.15,62.66,94.4,259.79
GAMELEIRA,PERNAMBUCO,12.36,28.73,86.39,111.46
GUARAMIRANGA,CEARÁ,12.5,20.0,100.0,67.0
CANTÁ,RORAIMA,13.45,83.29,85.22,222.68
SANTIAGO,RIO GRANDE DO SUL,13.67,822.67,0.0,55.33
MALHADA DE PEDRAS,BAHIA,14.0,210.0,81.0,474.83
MUCAJAÍ,RORAIMA,14.83,35.82,89.92,259.52
BOZANO,RIO GRANDE DO SUL,15.0,167.0,4.0,20.0
PALESTINA,ALAGOAS,15.7,259.2,97.0,639.6
BOA VISTA,RORAIMA,15.91,10.38,95.47,291.83
SANTA MARGARIDA DO SUL,RIO GRANDE DO SUL,16.0,3576.0,0.0,21.0
CAMPESTRE,ALAGOAS,16.0,195.0,100.0,869.0
